Matter,FA,MD,L1,L2,L3
1,1.21E-01,3.13E-03,3.56E-03,2.98E-03,2.84E-03
1,6.82E-02,3.30E-03,3.51E-03,3.32E-03,3.06E-03
1,5.84E-02,3.13E-03,3.33E-03,3.09E-03,2.97E-03
1,9.77E-02,3.34E-03,3.69E-03,3.29E-03,3.04E-03
1,7.71E-02,3.17E-03,3.34E-03,3.27E-03,2.89E-03
1,9.50E-02,3.12E-03,3.46E-03,3.00E-03,2.90E-03
1,1.71E-01,3.14E-03,3.76E-03,2.91E-03,2.76E-03
1,4.06E-02,3.17E-03,3.30E-03,3.18E-03,3.04E-03
1,5.27E-02,2.72E-03,2.87E-03,2.71E-03,2.59E-03
1,5.46E-02,1.86E-03,1.95E-03,1.89E-03,1.75E-03
1,4.86E-02,2.07E-03,2.18E-03,2.07E-03,1.97E-03
1,4.87E-02,2.24E-03,2.36E-03,2.21E-03,2.14E-03
1,5.50E-02,2.41E-03,2.55E-03,2.38E-03,2.29E-03
1,4.24E-02,3.06E-03,3.20E-03,3.02E-03,2.95E-03
1,3.13E-02,2.83E-03,2.93E-03,2.79E-03,2.77E-03
1,9.27E-02,1.82E-03,1.99E-03,1.81E-03,1.65E-03
1,4.26E-02,3.07E-03,3.20E-03,3.08E-03,2.94E-03
1,4.98E-02,2.55E-03,2.65E-03,2.58E-03,2.41E-03
1,4.52E-02,2.53E-03,2.66E-03,2.48E-03,2.45E-03
1,9.45E-02,2.23E-03,2.42E-03,2.25E-03,2.00E-03
1,3.37E-02,2.50E-03,2.58E-03,2.50E-03,2.42E-03
1,3.30E-02,2.74E-03,2.84E-03,2.72E-03,2.66E-03
1,6.32E-02,2.36E-03,2.52E-03,2.33E-03,2.23E-03
1,8.85E-02,2.76E-03,3.04E-03,2.65E-03,2.59E-03
1,9.34E-02,3.08E-03,3.41E-03,2.95E-03,2.88E-03
1,9.74E-02,1.99E-03,2.20E-03,1.98E-03,1.81E-03
1,9.87E-02,1.83E-03,2.02E-03,1.83E-03,1.65E-03
1,6.51E-02,2.44E-03,2.62E-03,2.39E-03,2.32E-03
1,9.62E-02,1.35E-03,1.49E-03,1.32E-03,1.24E-03
1,7.15E-02,2.52E-03,2.72E-03,2.49E-03,2.36E-03
1,2.36E-02,3.69E-03,3.78E-03,3.68E-03,3.61E-03
1,6.57E-02,2.30E-03,2.46E-03,2.25E-03,2.17E-03
1,6.90E-02,3.51E-03,3.77E-03,3.49E-03,3.28E-03
1,8.08E-02,1.59E-03,1.72E-03,1.57E-03,1.47E-03
1,5.71E-02,2.73E-03,2.91E-03,2.66E-03,2.63E-03
1,4.97E-02,3.81E-03,4.01E-03,3.79E-03,3.63E-03
1,7.87E-02,1.87E-03,2.04E-03,1.83E-03,1.76E-03
1,6.01E-02,2.87E-03,3.06E-03,2.85E-03,2.71E-03
1,7.13E-02,3.64E-03,3.93E-03,3.52E-03,3.45E-03
1,5.21E-02,2.02E-03,2.14E-03,1.97E-03,1.95E-03
1,4.02E-02,2.74E-03,2.87E-03,2.69E-03,2.66E-03
1,6.99E-02,3.51E-03,3.78E-03,3.46E-03,3.30E-03
1,5.17E-02,3.60E-03,3.72E-03,3.68E-03,3.38E-03
1,1.01E-01,3.80E-03,4.18E-03,3.81E-03,3.41E-03
1,1.12E-01,2.25E-03,2.53E-03,2.18E-03,2.04E-03
1,2.11E-02,3.77E-03,3.86E-03,3.74E-03,3.71E-03
1,4.91E-02,4.00E-03,4.17E-03,4.06E-03,3.78E-03
1,1.43E-01,2.05E-03,2.38E-03,1.97E-03,1.80E-03
1,5.79E-02,3.09E-03,3.28E-03,3.08E-03,2.92E-03
1,5.35E-02,4.19E-03,4.44E-03,4.12E-03,4.01E-03
1,9.91E-02,2.76E-03,3.08E-03,2.63E-03,2.57E-03
1,6.85E-02,3.17E-03,3.42E-03,3.09E-03,3.01E-03
1,4.34E-02,2.96E-03,3.06E-03,3.00E-03,2.81E-03
1,9.63E-02,2.46E-03,2.70E-03,2.45E-03,2.23E-03
1,8.02E-02,3.35E-03,3.58E-03,3.42E-03,3.06E-03
1,6.86E-02,3.04E-03,3.21E-03,3.10E-03,2.81E-03
1,7.88E-02,3.51E-03,3.70E-03,3.64E-03,3.19E-03
1,4.15E-02,3.84E-03,3.99E-03,3.85E-03,3.67E-03
1,4.78E-02,3.67E-03,3.82E-03,3.72E-03,3.48E-03
1,2.90E-02,3.93E-03,4.02E-03,3.96E-03,3.80E-03
1,3.24E-02,3.31E-03,3.43E-03,3.27E-03,3.22E-03
