Matter,T1,B0,ADC,FA,L1,L2,L3,RA,RD,TR,VR
1,181.86790,337.000,2.5677000E-03,1.9306000E-01,2.5677000E-03,2.1758000E-03,1.7253000E-03,1.5963000E-01,1.9505000E-03,6.4688000E-03,9.6143000E-01
1,145.25560,498.000,2.0921000E-03,1.5450000E-01,2.0921000E-03,1.7694000E-03,1.5341000E-03,1.2716000E-01,1.6518000E-03,5.3957000E-03,9.7613000E-01
1,137.85850,542.000,1.0412000E-03,1.7305000E-01,1.0412000E-03,9.3767000E-04,7.3103000E-04,1.4273000E-01,8.3435000E-04,2.7099000E-03,9.6833000E-01
1,172.19800,318.000,3.4907000E-03,1.3799000E-01,3.4907000E-03,3.4681000E-03,2.7049000E-03,1.1339000E-01,3.0865000E-03,9.6637000E-03,9.7969000E-01
1,120.69730,654.000,4.4511000E-03,2.2951000E-01,4.4511000E-03,3.4413000E-03,2.7993000E-03,1.9077000E-01,3.1203000E-03,1.0692000E-02,9.4725000E-01
1,70.05940,828.000,2.8003000E-03,2.6678000E-01,2.8003000E-03,1.9889000E-03,1.6586000E-03,2.2319000E-01,1.8238000E-03,6.4479000E-03,9.3044000E-01
1,160.84320,357.000,3.9551000E-03,8.1956000E-02,3.9551000E-03,3.5564000E-03,3.3722000E-03,6.7067000E-02,3.4643000E-03,1.0884000E-02,9.9338000E-01
1,79.49130,722.000,4.3889000E-03,1.3775000E-01,4.3889000E-03,4.0294000E-03,3.3226000E-03,1.1319000E-01,3.6760000E-03,1.1741000E-02,9.8024000E-01
1,32.94980,926.000,2.6714000E-03,1.1596000E-01,2.6714000E-03,2.2833000E-03,2.1388000E-03,9.5106000E-02,2.2111000E-03,7.0935000E-03,9.8686000E-01
1,39.64210,792.000,1.6125000E-03,1.0885000E-01,1.6125000E-03,1.4930000E-03,1.2951000E-03,8.9231000E-02,1.3940000E-03,4.4006000E-03,9.8785000E-01
1,69.35750,796.000,3.6337000E-03,1.6160000E-01,3.6337000E-03,3.1432000E-03,2.6134000E-03,1.3311000E-01,2.8783000E-03,9.3903000E-03,9.7331000E-01
1,67.09810,958.000,3.6090000E-03,1.5137000E-01,3.6090000E-03,3.4744000E-03,2.6890000E-03,1.2455000E-01,3.0817000E-03,9.7724000E-03,9.7548000E-01
1,63.03140,913.000,3.3050000E-03,3.8103000E-01,3.3050000E-03,1.7441000E-03,1.7284000E-03,3.2736000E-01,1.7362000E-03,6.7775000E-03,8.6405000E-01
1,74.31370,581.000,2.5213000E-03,7.8595000E-01,2.5213000E-03,5.5927000E-04,3.8868000E-04,8.3675000E-01,4.7397000E-04,3.4692000E-03,3.5440000E-01
1,106.58220,801.000,3.7595000E-03,1.5453000E-01,3.7595000E-03,3.5603000E-03,2.7691000E-03,1.2719000E-01,3.1647000E-03,1.0089000E-02,9.7451000E-01
1,51.53360,975.000,3.6313000E-03,2.4365000E-01,3.6313000E-03,2.5612000E-03,2.3035000E-03,2.0299000E-01,2.4324000E-03,8.4960000E-03,9.4323000E-01
1,39.25360,750.000,2.9710000E-03,6.3021000E-01,2.9710000E-03,9.6976000E-04,8.8203000E-04,6.0011000E-01,9.2589000E-04,4.8227000E-03,6.1168000E-01
1,165.96650,577.000,4.1196000E-03,1.7047000E-01,4.1196000E-03,3.4175000E-03,2.9250000E-03,1.4056000E-01,3.1713000E-03,1.0462000E-02,9.7095000E-01
1,55.42330,950.000,3.5545000E-03,1.6375000E-01,3.5545000E-03,3.3872000E-03,2.5747000E-03,1.3491000E-01,2.9809000E-03,9.5164000E-03,9.7116000E-01
1,52.27480,882.000,3.4027000E-03,4.7549000E-01,3.4027000E-03,1.5384000E-03,1.4575000E-03,4.2128000E-01,1.4979000E-03,6.3986000E-03,7.8633000E-01
1,224.08230,314.000,1.9810000E-03,8.6321000E-01,1.9810000E-03,3.3004000E-04,1.6488000E-04,9.9353000E-01,2.4746000E-04,2.4759000E-03,1.9178000E-01
1,74.69130,786.000,3.6660000E-03,7.3344000E-02,3.6660000E-03,3.3370000E-03,3.1770000E-03,5.9992000E-02,3.2570000E-03,1.0180000E-02,9.9469000E-01
1,205.66560,449.000,3.2110000E-03,7.5080000E-02,3.2110000E-03,2.9878000E-03,2.7616000E-03,6.1418000E-02,2.8747000E-03,8.9603000E-03,9.9434000E-01
1,60.82730,727.000,3.2318000E-03,6.7099000E-02,3.2318000E-03,3.1402000E-03,2.8376000E-03,5.4869000E-02,2.9889000E-03,9.2096000E-03,9.9539000E-01
1,76.37270,863.000,3.5184000E-03,9.7993000E-02,3.5184000E-03,3.1687000E-03,2.8920000E-03,8.0269000E-02,3.0304000E-03,9.5791000E-03,9.9041000E-01
1,65.59320,825.000,3.7995000E-03,1.7879000E-01,3.7995000E-03,3.0423000E-03,2.6752000E-03,1.4756000E-01,2.8588000E-03,9.5170000E-03,9.6861000E-01
1,66.54420,965.000,3.5182000E-03,1.1063000E-01,3.5182000E-03,3.2206000E-03,2.8136000E-03,9.0700000E-02,3.0171000E-03,9.5524000E-03,9.8752000E-01
1,48.58740,956.000,3.9995000E-03,2.0969000E-01,3.9995000E-03,2.8600000E-03,2.7757000E-03,1.7378000E-01,2.8178000E-03,9.6352000E-03,9.5835000E-01
1,70.20790,890.000,4.0228000E-03,1.6906000E-01,4.0228000E-03,3.3295000E-03,2.8675000E-03,1.3937000E-01,3.0985000E-03,1.0220000E-02,9.7151000E-01
1,69.95130,954.000,3.5670000E-03,1.2089000E-01,3.5670000E-03,3.2763000E-03,2.7943000E-03,9.9187000E-02,3.0353000E-03,9.6376000E-03,9.8496000E-01
1,63.68820,945.000,3.0736000E-03,2.0905000E-01,3.0736000E-03,2.3797000E-03,2.0338000E-03,1.7323000E-01,2.2068000E-03,7.4871000E-03,9.5698000E-01
1,62.54400,707.000,3.4083000E-03,7.8950000E-02,3.4083000E-03,3.1024000E-03,2.9160000E-03,6.4596000E-02,3.0092000E-03,9.4267000E-03,9.9382000E-01
1,205.47700,428.000,4.0644000E-03,1.0081000E-01,4.0644000E-03,3.6039000E-03,3.3306000E-03,8.2591000E-02,3.4672000E-03,1.0999000E-02,9.8994000E-01
1,319.17440,300.000,3.2281000E-03,1.9917000E-01,3.2281000E-03,2.7614000E-03,2.1381000E-03,1.6481000E-01,2.4497000E-03,8.1276000E-03,9.5848000E-01
1,157.46800,592.000,3.3366000E-03,7.8392000E-02,3.3366000E-03,3.0641000E-03,2.8533000E-03,6.4139000E-02,2.9587000E-03,9.2540000E-03,9.9387000E-01
1,93.58040,376.000,1.0427000E-03,3.0206000E-01,1.0427000E-03,7.3274000E-04,5.6353000E-04,2.5449000E-01,6.4814000E-04,2.3390000E-03,9.0848000E-01
1,300.86610,178.000,2.3116000E-03,2.1499000E-01,2.3116000E-03,1.8711000E-03,1.4869000E-03,1.7831000E-01,1.6790000E-03,5.6696000E-03,9.5278000E-01
1,197.81560,459.000,3.7189000E-03,1.2587000E-01,3.7189000E-03,3.3609000E-03,2.8815000E-03,1.0332000E-01,3.1212000E-03,9.9613000E-03,9.8380000E-01
1,65.86120,606.000,1.5406000E-03,1.9780000E-01,1.5406000E-03,1.2662000E-03,1.0286000E-03,1.6365000E-01,1.1474000E-03,3.8354000E-03,9.6021000E-01
1,280.24430,231.000,1.5971000E-03,3.6521000E-01,1.5971000E-03,1.0326000E-03,7.5040000E-04,3.1240000E-01,8.9152000E-04,3.3801000E-03,8.6525000E-01
1,270.05950,348.000,3.8922000E-03,1.3923000E-01,3.8922000E-03,3.1803000E-03,3.0029000E-03,1.1443000E-01,3.0916000E-03,1.0075000E-02,9.8125000E-01
1,98.27630,571.000,2.5694000E-03,1.3278000E-01,2.5694000E-03,2.1010000E-03,2.0167000E-03,1.0906000E-01,2.0589000E-03,6.6872000E-03,9.8299000E-01
1,151.70790,388.000,4.0315000E-03,1.8921000E-01,4.0315000E-03,3.2132000E-03,2.7714000E-03,1.5637000E-01,2.9923000E-03,1.0016000E-02,9.6465000E-01
1,304.59930,273.000,8.2171000E-04,1.7089000E-01,8.2171000E-04,6.7205000E-04,5.8528000E-04,1.4091000E-01,6.2867000E-04,2.0790000E-03,9.7109000E-01
1,192.11640,389.000,2.1617000E-03,2.8427000E-01,2.1617000E-03,1.4390000E-03,1.2682000E-03,2.3862000E-01,1.3536000E-03,4.8689000E-03,9.2281000E-01
1,223.78760,420.000,1.6035000E-03,1.2428000E-01,1.6035000E-03,1.3739000E-03,1.2569000E-03,1.0200000E-01,1.3154000E-03,4.2343000E-03,9.8479000E-01
1,233.26120,327.000,9.9520000E-04,1.3066000E-01,9.9520000E-04,8.5835000E-04,7.6712000E-04,1.0730000E-01,8.1273000E-04,2.6207000E-03,9.8303000E-01
1,225.18710,350.000,1.3454000E-03,1.1303000E-01,1.3454000E-03,1.2268000E-03,1.0706000E-03,9.2688000E-02,1.1487000E-03,3.6429000E-03,9.8698000E-01
1,162.44490,460.000,2.5422000E-03,1.5716000E-01,2.5422000E-03,2.0207000E-03,1.8998000E-03,1.2939000E-01,1.9602000E-03,6.4627000E-03,9.7621000E-01
1,163.66220,555.000,1.2379000E-03,1.1109000E-01,1.2379000E-03,1.0516000E-03,1.0068000E-03,9.1081000E-02,1.0292000E-03,3.2963000E-03,9.8801000E-01
1,245.96910,335.000,1.0373000E-03,1.2151000E-01,1.0373000E-03,9.0774000E-04,8.1363000E-04,9.9707000E-02,8.6069000E-04,2.7587000E-03,9.8528000E-01
1,224.16790,384.000,2.2049000E-03,1.2204000E-01,2.2049000E-03,1.8751000E-03,1.7426000E-03,1.0015000E-01,1.8089000E-03,5.8226000E-03,9.8543000E-01
1,140.23530,606.000,1.7233000E-03,1.0158000E-01,1.7233000E-03,1.5136000E-03,1.4137000E-03,8.3230000E-02,1.4636000E-03,4.6505000E-03,9.8984000E-01
1,196.48570,353.000,1.2392000E-03,1.2258000E-01,1.2392000E-03,1.0942000E-03,9.6822000E-04,1.0059000E-01,1.0312000E-03,3.3016000E-03,9.8491000E-01
1,242.66830,305.000,9.9334000E-04,1.4743000E-01,9.9334000E-04,8.5666000E-04,7.3737000E-04,1.2126000E-01,7.9702000E-04,2.5874000E-03,9.7809000E-01
1,188.79430,304.000,8.4277000E-04,1.1319000E-01,8.4277000E-04,7.8382000E-04,6.7138000E-04,9.2815000E-02,7.2760000E-04,2.2980000E-03,9.8679000E-01
1,183.61040,332.000,1.1331000E-03,1.9454000E-01,1.1331000E-03,9.0574000E-04,7.6801000E-04,1.6089000E-01,8.3687000E-04,2.8068000E-03,9.6238000E-01
1,188.45260,319.000,1.3164000E-03,1.9931000E-01,1.3164000E-03,9.8953000E-04,9.0741000E-04,1.6494000E-01,9.4847000E-04,3.2134000E-03,9.6186000E-01
1,182.60340,333.000,1.9009000E-03,4.0418000E-01,1.9009000E-03,1.0881000E-03,8.5586000E-04,3.4960000E-01,9.7200000E-04,3.8449000E-03,8.4091000E-01
1,174.76730,336.000,2.2993000E-03,4.8932000E-01,2.2993000E-03,1.1247000E-03,8.6706000E-04,4.3582000E-01,9.9587000E-04,4.2910000E-03,7.6622000E-01
1,171.51650,389.000,2.4411000E-03,4.7147000E-01,2.4411000E-03,1.1741000E-03,1.0014000E-03,4.1710000E-01,1.0878000E-03,4.6166000E-03,7.8758000E-01
1,147.56850,408.000,1.4002000E-03,2.0538000E-01,1.4002000E-03,1.1169000E-03,9.2509000E-04,1.7010000E-01,1.0210000E-03,3.4422000E-03,9.5774000E-01
1,120.56960,419.000,1.2366000E-03,2.5661000E-01,1.2366000E-03,9.0706000E-04,7.4086000E-04,2.1428000E-01,8.2396000E-04,2.8846000E-03,9.3485000E-01
1,104.79500,400.000,1.0657000E-03,2.0223000E-01,1.0657000E-03,8.6965000E-04,7.0518000E-04,1.6742000E-01,7.8741000E-04,2.6405000E-03,9.5846000E-01
1,173.61430,318.000,7.1031000E-04,1.3535000E-01,7.1031000E-04,6.8848000E-04,5.4754000E-04,1.1119000E-01,6.1801000E-04,1.9463000E-03,9.8055000E-01
1,147.95600,406.000,1.4176000E-03,1.1145000E-01,1.4176000E-03,1.2059000E-03,1.1510000E-03,9.1381000E-02,1.1784000E-03,3.7745000E-03,9.8792000E-01
1,229.43920,343.000,1.5174000E-03,1.8778000E-01,1.5174000E-03,1.1584000E-03,1.0692000E-03,1.5516000E-01,1.1138000E-03,3.7450000E-03,9.6612000E-01
1,167.70890,372.000,2.5098000E-03,1.6150000E-01,2.5098000E-03,2.0012000E-03,1.8504000E-03,1.3302000E-01,1.9258000E-03,6.3614000E-03,9.7477000E-01
